GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,s_step
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,0,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,1,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,2,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,3,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,4,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,5,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,6,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,7,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,8,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,9,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,11,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,12,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,13,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,14,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,15,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,16,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,17,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,18,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,19,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,20,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,21,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,22,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,23,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,24,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,25,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,26,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,27,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,28,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,29,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,30,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,31,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,32,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,33,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,34,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,35,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,36,0.012
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,37,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,38,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,39,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,40,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,41,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,42,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,43,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,44,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,45,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,46,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,47,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,48,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,49,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,50,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,51,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,52,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,53,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,54,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,55,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,56,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,57,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,58,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,59,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,60,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,61,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,62,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,63,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,64,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,65,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,66,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,67,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,68,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,69,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,70,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,71,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,72,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,73,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,74,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,75,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,76,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,77,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,78,0.010
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,79,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,80,0.011
